,2008,2009,2010,2011,2012,2013,2014,2015,2016,states,2017,2018,2019,2020,2021,2022
0,"Total Year-Round Beds (ES,TH,SH)","Total Year-Round Beds (ES,TH,SH)","Total Year-Round Beds (ES,TH,SH)","Total Year-Round Beds (ES,TH,SH)","Total Year-Round Beds (ES,TH,SH)","Total Year-Round Beds (ES,TH,RRH,SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)",State,"Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES, TH, SH)"
1,1697,1697,1805,1939,1877,1895,1814,1860,1826,AK,1828,1940,1878,1885,2270,3088
2,4337,4065,4221,4497,4297,4077,3724,3613,3489,AL,3444,3188,2701,2913,2394,2714
3,1847,1802,2700,2710,2662,2561,2151,2486,2394,AR,2062,2362,1917,1686,2615,2318
4,9803,9066,8914,8748,9238,8982,8873,7473,6942,AZ,5880,6683,6568,6079,6411,6162
5,52016,52397,50282,49657,47144,45411,44035,45929,42351,CA,44473,43548,46306,53265,60582,68607
6,6522,6363,6420,6361,6536,7744,8466,7653,7656,CO,7071,7532,8196,8274,9213,9294
7,3958,4043,3921,3906,3539,3634,3411,3399,3236,CT,3094,3417,2697,2600,2586,2424
8,5742,6202,6375,6479,6243,7854,7281,6963,8314,DC,7402,6721,6156,6687,6272,6598
9,1250,1197,1233,1216,1239,1263,1172,1146,1170,DE,1143,1122,1014,1026,941,1426
10,22036,22376,23362,23974,23272,24292,22316,22026,21575,FL,19982,19554,18617,17793,17331,18393
11,10152,10584,9965,11167,9534,9371,9256,9219,8792,GA,8127,7363,7600,7413,7657,7302
12,244,234,240,264,259,193,186,154,146,GU,129,140,161,145,269,150
13,3872,4210,4259,4250,4230,4112,4336,4363,4412,HI,4252,3599,3121,3384,3312,3123
14,4311,4288,3978,3982,3627,3828,3643,3606,3568,IA,3266,3026,2518,2566,2557,2454
15,1872,1944,1905,1895,1795,1996,1768,1859,1906,ID,1691,1413,1466,1577,1576,1841
16,13815,13153,13555,13045,13246,12787,12676,11975,11381,IL,10177,10210,9939,10233,9916,10553
17,8811,7608,7661,7245,7389,7758,6842,6511,6479,IN,6142,5568,5916,5821,5408,6001
18,2474,1399,2787,2942,3085,3120,3188,2979,2462,KS,2516,2599,2561,2813,2411,2272
19,6078,5250,5556,5389,4547,4970,4262,4087,3797,KY,3540,2875,3049,3322,3190,3340
20,4707,5070,5148,5073,5041,4662,4574,4028,3675,LA,3164,2647,2708,2580,2076,6545
21,14239,15036,15509,14567,14782,18047,15471,17707,17382,MA,16614,17310,17472,17528,16909,17908
22,5610,6026,5900,6284,5769,6080,5950,6076,6138,MD,5616,5529,5303,5221,5634,6181
23,2966,2774,2724,2801,2675,3243,2730,2576,2484,ME,2457,2734,2254,2348,2677,4657
24,11678,12059,11822,12108,11827,11385,10643,10337,9261,MI,8624,8531,8630,8964,8484,8821
25,7096,7171,7325,6973,6879,7126,7336,6779,6871,MN,7013,6660,6356,6730,8090,7879
26,6994,7391,7440,8136,8253,7761,7284,6700,6529,MO,6057,5624,5866,5763,5522,5888
27,1788,1451,1376,1373,1542,1823,1607,1498,1383,MS,1322,1079,1093,962,942,747
28,1188,1214,1170,1207,1411,1493,1337,1224,1257,MT,1290,1376,1319,1351,1716,1993
29,9730,9639,9968,10277,10071,10834,9724,9337,8641,NC,8002,7963,7983,7928,7327,7108
30,782,790,850,739,724,729,936,966,980,ND,1034,726,754,757,776,875
31,3217,3189,3490,3807,3667,3728,3446,2973,2733,NE,2569,2390,2558,2764,2599,2770
32,1516,1356,1374,1360,1353,1410,1398,1369,1476,NH,1383,1349,1325,1574,1747,1864
33,6833,6809,6845,7576,7882,8285,7561,7737,7127,NJ,7001,7099,7151,7178,5950,6331
34,2649,2743,2692,2797,2545,2592,2325,2277,1880,NM,1674,1651,2465,2379,2891,2645
35,5294,8397,3971,4775,4630,3929,5175,4466,3577,NV,3331,3033,3063,3153,3702,4243
36,57217,60070,63841,64083,69190,75992,78506,86578,84730,NY,87836,88063,89238,88955,83720,77443
37,10629,10757,11324,11693,12499,13301,10759,10273,9844,OH,9420,9269,9231,9253,8921,9470
38,3575,3661,3633,3632,4013,4211,3880,3804,3762,OK,3678,3339,3221,3101,2586,3310
39,9237,8563,7640,7377,7249,7922,6924,6144,5791,OR,6648,6419,7147,5957,5315,7307
40,16747,16112,15745,16363,16050,16370,15922,16140,15682,PA,14246,12909,12687,12789,11842,12430
41,1892,2038,2019,2053,2199,2003,1962,2112,2000,PR,1531,955,855,731,659,746
42,1254,1450,1215,1300,1162,1181,1225,1142,1122,RI,1069,1003,952,993,869,852
43,3969,4261,3508,3791,4825,4149,3473,3755,3721,SC,2931,3001,3071,3067,2785,3012
44,1379,1379,1379,1319,1444,1588,1747,1460,1157,SD,1356,1090,1074,1215,1283,1233
45,6259,5725,6202,6746,6492,6979,6791,6981,6979,TN,6326,5674,5413,5060,5429,5259
46,20666,22449,22393,24323,22880,22582,22443,20812,20297,TX,19344,18006,18271,18141,18320,19125
47,3306,3215,2922,2954,3020,3188,2740,2760,2499,UT,2754,2968,2927,2865,2717,2977
48,7671,7947,7949,7690,7514,7935,6274,6077,5942,VA,5628,5303,5092,4973,5685,5558
49,108,123,148,195,158,151,127,128,143,VI,132,205,78,92,65,83
50,931,791,786,805,981,1414,1040,903,752,VT,961,937,853,823,845,947
51,17279,17927,18071,16669,16966,18551,14886,14476,14627,WA,14288,15016,14082,14817,14314,17078
52,6305,5989,6008,6692,6384,6701,6504,6703,6404,WI,5525,4721,4514,4341,4887,4865
53,2060,1853,2002,1878,1874,1980,1965,1815,1731,WV,1657,1593,1513,1480,1450,1563
54,710,739,904,753,817,905,815,853,812,WY,698,560,619,804,791,839
55,418318,424042,424432,429835,428527,446078,424880,426267,411285,Total,399439,389622,389549,396149,396466,418642
